BusinessEntityID,LoginID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,VacationHours,SickLeaveHours,FirstName,LastName,HireYear
248,adventure-works\mike0,Accountant,1979-07-01,S,M,2009-03-08,59,49,Mike,Seamans,2009
245,adventure-works\barbara1,Accountant,1976-01-04,M,F,2009-02-18,58,49,Barbara,Moreland,2009
241,adventure-works\david6,Accounts Manager,1983-07-08,M,M,2009-01-30,57,48,David,Liu,2009
247,adventure-works\janet0,Accounts Payable Specialist,1979-03-09,M,F,2009-03-01,64,52,Janet,Sheperdigian,2009
246,adventure-works\dragan0,Accounts Payable Specialist,1977-02-14,M,M,2009-02-11,63,51,Dragan,Tomic,2009
244,adventure-works\bryan1,Accounts Receivable Specialist,1984-09-20,S,M,2009-01-24,62,51,Bryan,Walton,2009
242,adventure-works\deborah0,Accounts Receivable Specialist,1976-03-06,M,F,2008-12-18,60,50,Deborah,Poe,2008
243,adventure-works\candy0,Accounts Receivable Specialist,1976-02-23,S,F,2009-01-06,61,50,Candy,Spoon,2009
268,adventure-works\ramesh0,Application Specialist,1988-03-13,S,M,2009-02-03,73,56,Ramesh,Meyyappan,2009
269,adventure-works\dan0,Application Specialist,1987-05-26,M,M,2009-01-11,72,56,Dan,Bacon,2009
272,adventure-works\janaina0,Application Specialist,1985-01-30,M,F,2008-12-23,71,55,Janaina,Bueno,2008
267,adventure-works\karen1,Application Specialist,1978-05-19,S,F,2009-02-16,74,57,Karen,Berg,2009
262,adventure-works\david5,Assistant to the Chief Financial Officer,1964-06-21,S,M,2009-01-12,56,48,David,Barber,2009
239,adventure-works\mindy0,Benefits Specialist,1984-11-20,M,F,2008-12-25,51,45,Mindy,Martin,2008
251,adventure-works\mikael0,Buyer,1984-08-17,S,M,2009-02-10,59,49,Mikael,Sandberg,2009
252,adventure-works\arvind0,Buyer,1974-08-21,M,M,2009-02-28,60,50,Arvind,Rao,2009
254,adventure-works\fukiko0,Buyer,1970-11-24,M,M,2010-01-04,57,48,Fukiko,Ogisu,2010
255,adventure-works\gordon0,Buyer,1966-11-29,M,M,2010-01-11,52,46,Gordon,Hee,2010
256,adventure-works\frank2,Buyer,1952-05-12,M,M,2010-01-23,58,49,Frank,Pellow,2010
257,adventure-works\eric2,Buyer,1972-09-17,S,M,2010-01-27,54,47,Eric,Kurjan,2010
258,adventure-works\erin0,Buyer,1971-01-04,S,F,2010-01-31,53,46,Erin,Hagens,2010
259,adventure-works\ben0,Buyer,1973-06-03,M,M,2010-03-09,55,47,Ben,Miller,2010
253,adventure-works\linda2,Buyer,1970-11-30,M,F,2009-12-17,56,48,Linda,Meisner,2009
1,adventure-works\ken0,Chief Executive Officer,1969-01-29,S,M,2009-01-14,99,69,Ken,Sánchez,2009
234,adventure-works\laura1,Chief Financial Officer,1976-01-06,M,F,2009-01-31,0,20,Laura,Norman,2009
218,adventure-works\tengiz0,Control Specialist,1990-04-28,S,M,2008-12-16,76,58,Tengiz,Kharatishvili,2008
221,adventure-works\chris1,Control Specialist,1987-05-26,M,M,2009-03-06,75,57,Chris,Norred,2009
271,adventure-works\dan1,Database Administrator,1976-01-06,M,M,2009-01-22,66,53,Dan,Wilson,2009
270,adventure-works\françois0,Database Administrator,1975-05-17,S,M,2009-01-17,67,53,François,Ajenstat,2009
5,adventure-works\gail0,Design Engineer,1952-09-27,M,F,2008-01-06,5,22,Gail,Erickson,2008
